Ligand,Distance1,Distance2,Distance3,Distance4,Distance5,Distance6,Distance7,Distance8,Distance9,Ellipsis
10gs,6.36643637314733,6.171331023393821,10.113815448217654,7.308933615539523,6.620358404469985,9.108877476479478,6.991174876184542,7.316668130019871,7.991693261623521,
11gs,5.407098099862666,4.774230412650495,6.29995833000057,3.3737487129988715,5.553405658207889,5.61036141312638,4.830634611359209,8.898998726275693,6.159375818609528,
13gs,6.178216194015875,6.1272161298411625,5.7421716811113495,10.855343881175363,10.912343332716004,10.21136937654719,2.423756421048004,10.411379264381148,10.631605451351843,
16pk,1.0525739747436722,11.252372037155723,11.166115492072777,11.226637220490952,11.89919569547584,13.03518302900821,10.114020460346502,,,
184l,0.4686976573442628,0.4570229928570337,4.177192373712276,4.244025008291067,4.3240875920822885,4.053963793745573,2.563670979669584,9.705104759146083,10.327920335430557,
185l,0.461010920574436,2.0303539168770004,3.643359315247399,3.0842149681888262,3.123405929074506,2.471676819264381,12.404054846209675,,,
186l,0.9171318438479824,4.240971393324883,4.24548299549062,4.444012603379968,0.939901052239011,4.168832161888987,1.7345186291879375,2.211110389148402,,
187l,0.7024955845056965,0.6867643181980264,0.7099157326753647,0.7003558211723522,2.42538898194702,2.422205188717504,1.4671641029550857,2.22963304099576,2.5276188955714827,
188l,0.956951980900818,0.8625593073812367,2.644319130229936,2.6641547027152908,2.7577699935817708,2.755805279768511,2.715520821822216,3.3658787387174245,3.3181374655068168,
1a07,2.1689058944817416,6.737464779368815,6.050856226163854,7.003814156061472,6.827231017274521,7.80405915147405,3.3806040588402326,4.508528380714253,0.9196643153570636,
1a08,2.0046184507099665,1.483321723486127,1.7869317735757664,4.160881885827195,3.47134136978917,2.704338158787316,3.389702263635785,5.602141918618401,3.478686164729857,
1a09,6.463381168194079,6.025833102385502,5.344852151050145,5.739778279626165,7.693559258664703,8.944577655532633,8.22210993515981,6.03547195679174,7.988617740733435,
1a0q,2.145132409108748,1.4479782489958954,0.7449598827833094,7.70436462075655,6.99756977081267,7.4246292134033025,2.613211506356981,7.248336860393502,5.934301193503528,
1a0t,6.55170132099787,2.8277872131065123,4.853638732950775,3.229947805676016,4.9032511665398015,2.8896019880885357,4.966595976250167,4.593258249302189,7.010753777807596,
1a1b,3.1422720413820446,2.687595073762567,1.3421737895228216,2.403664764106078,5.623820519964096,2.338901591203301,3.56827688495334,5.212576142344934,3.670963008390899,
1a1c,1.2035266876537205,3.1078731082695867,1.3289838884612084,5.070055722599424,5.730093747786423,5.9001945237334965,2.01587013881821,4.618104666589851,2.180269794990373,
1a1e,1.1013265827365222,0.978034779814254,4.755445728015961,1.5198663026380752,5.382117063357524,3.7729906011433143,3.611330377182057,3.632953451539482,8.439462693454514,
1a28,0.42560529990162,6.941579199508097,7.064948155106861,,,,,,,
1a2c,2.647015396147492,1.1370805680071814,3.0357213046164704,7.582216855017511,2.2476046410697186,8.513588313683234,8.297941685603389,7.64282012520765,9.368050885769788,
1a30,1.4036862467199602,11.43662588683326,1.4175690961317164,8.153871576435332,4.572413864520745,8.375501789927391,8.842088381189662,5.857773786962993,2.5800618662081605,
1a37,10.905902048419208,9.915790768884028,11.707149293853368,11.462953569951209,10.853833950597496,10.610846679951065,11.07526618912611,9.640193137276864,6.238132276868957,
